username,repo_name,stars,repo_url
amphp,amp,3800,https://github.com/amphp/amp
danog,MadelineProto,2200,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,741,https://github.com/unreal4u/telegram-api
amphp,http-client,636,https://github.com/amphp/http-client
amphp,parallel,608,https://github.com/amphp/parallel
php-service-bus,service-bus,333,https://github.com/php-service-bus/service-bus
amphp,byte-stream,310,https://github.com/amphp/byte-stream
amphp,mysql,291,https://github.com/amphp/mysql
amphp,parallel-functions,234,https://github.com/amphp/parallel-functions
amphp,process,194,https://github.com/amphp/process
amphp,socket,173,https://github.com/amphp/socket
amphp,redis,132,https://github.com/amphp/redis
amphp,dns,126,https://github.com/amphp/dns
amphp,sync,121,https://github.com/amphp/sync
kelunik,acme,116,https://github.com/kelunik/acme
amphp,websocket-client,109,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,86,https://github.com/amphp/websocket-server
amphp,serialization,87,https://github.com/amphp/serialization
