username,repo_name,stars,repo_url
sindresorhus,awesome,227000,https://github.com/sindresorhus/awesome
vinta,awesome-python,147000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,109000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,91200,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,82900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,65800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,61500,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,58400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,55300,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,51400,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,48000,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,45800,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,44600,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,44000,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,43900,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,41900,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,41800,https://github.com/fffaraz/awesome-cpp
vsouza,awesome-ios,41100,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,37900,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35900,https://github.com/dypsilon/frontend-dev-bookmarks
