username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,152000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,48300,https://github.com/junegunn/fzf
sharkdp,bat,38200,https://github.com/sharkdp/bat
sherlock-project,sherlock,37000,https://github.com/sherlock-project/sherlock
google,zx,35100,https://github.com/google/zx
wagoodman,dive,34500,https://github.com/wagoodman/dive
BurntSushi,ripgrep,34300,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,31300,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,31100,https://github.com/jesseduffield/lazygit
cli,cli,30500,https://github.com/cli/cli
spf13,cobra,29600,https://github.com/spf13/cobra
n8n-io,n8n,26500,https://github.com/n8n-io/n8n
angular,angular-cli,25800,https://github.com/angular/angular-cli
alebcay,awesome-shell,25500,https://github.com/alebcay/awesome-shell
sharkdp,fd,25400,https://github.com/sharkdp/fd
httpie,httpie,24800,https://github.com/httpie/httpie
ibraheemdev,modern-unix,24800,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,23400,https://github.com/tqdm/tqdm
google,python-fire,23400,https://github.com/google/python-fire
vercel,pkg,22300,https://github.com/vercel/pkg
