username,repo_name,stars,repo_url
vercel,next.js,96600,https://github.com/vercel/next.js
rust-lang,rust,74700,https://github.com/rust-lang/rust
sveltejs,svelte,63300,https://github.com/sveltejs/svelte
webpack,webpack,62100,https://github.com/webpack/webpack
gatsbyjs,gatsby,53800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,43100,https://github.com/JetBrains/kotlin
babel,babel,41600,https://github.com/babel/babel
parcel-bundler,parcel,41600,https://github.com/parcel-bundler/parcel
evanw,esbuild,33900,https://github.com/evanw/esbuild
vlang,v,30900,https://github.com/vlang/v
carbon-language,carbon-lang,28700,https://github.com/carbon-language/carbon-lang
markedjs,marked,28700,https://github.com/markedjs/marked
swc-project,swc,24900,https://github.com/swc-project/swc
vercel,pkg,22300,https://github.com/vercel/pkg
v8,v8,20500,https://github.com/v8/v8
ziglang,zig,18600,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14800,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,14100,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13400,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,12600,https://github.com/RustPython/RustPython
